Attachment Type,Roof Tech (Decking),,,,,,,,,,,,,,,,
Tilt Leg Length,"0""",,,,,,,,,,,,,,,,
Attatch Count,-1,,,,,,,,,,,,,,,,
Panel Height,66.38mm,,,,,,,,,,,,,,,,
Panel Width,40mm,,,,,,,,,,,,,,,,
Panel Thickness,40mm,,,,,,,,,,,,,,,,
Mid Length,"0.25""",,,,,,,,,,,,,,,,
Rail Length1,"168""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PORTRAIT,,,,,,,,,,,,,,,, TOTAL,
Row Length (Panels),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,6,Row Length (Panels)
Spaces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,4,
UFOs,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,16,UFOs
Ends Sleeves,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,Ends Sleeves
Splices per Rail,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,0,
Ground Lugs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Ground Lugs
Splices,0,0,0,0,2,2,2,2,4,4,4,4,6,6,6,0,Splices
Rail Used per Rail,0.26,0.50,0.74,0.98,1.22,1.46,1.70,1.94,2.18,2.42,2.66,2.90,3.14,3.38,3.62,,
Rail Used per Row,0.52,1.00,1.48,1.96,2.44,2.92,3.40,3.88,4.36,4.84,5.32,5.79,6.27,6.75,7.23,2.96,
Rails per Rail,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,2,
Rails (168),1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,4,Rails (168)
Leftover Rail (x2),124.00,83.75,43.50,3.25,131.00,90.75,50.50,10.25,138.00,97.75,57.50,17.25,145.00,104.75,64.50,,
Rail Needed (x2),44.00,84.25,124.50,164.75,37.00,77.25,117.50,157.75,30.00,70.25,110.50,150.75,23.00,63.25,103.50,,
Flashings - Min,4,5,6,8,10,11,13,15,16,18,20,21,23,25,26,12,Flashings - Min
Module to Module”,40.00,80.25,120.50,160.75,201.00,241.25,281.50,321.75,362.00,402.25,442.50,482.75,523.00,563.25,603.50,241,Module to Module”
Rail to Rail”,44.00,84.25,124.50,164.75,205.00,245.25,285.50,325.75,366.00,406.25,446.50,486.75,527.00,567.25,607.50,249,Rail to Rail”
Row Count,,,2,,,,,,,,,,,,,2,Row Count
,,,,,,,,,,,,,,,,,
LANDSCAPE,,,,,,,,,,,,,,,, TOTAL,
Row Length,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,Row Length (Panels)
Spaces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,1,
UFOs,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,6,UFOs
Ends Sleeves,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Ends Sleeves
Ground Lugs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ground Lugs
Splices per Rail,0,0,1,1,2,2,2,3,3,3,4,4,5,5,5,0,
Splices,0,0,2,2,4,4,4,6,6,6,8,8,10,10,10,0,Splices
Rail Used per Rail,0.42,0.82,1.21,1.61,2.01,2.40,2.80,3.20,3.59,3.99,4.39,4.78,5.18,5.57,5.97,,
Rail Used per Row,0.84,1.63,2.42,3.22,4.01,4.80,5.60,6.39,7.18,7.98,8.77,9.56,10.36,11.15,11.94,1.63,
Rails per Rail,1,1,2,2,3,3,3,4,4,4,5,5,6,6,6,1,
Rails (168),1,2,3,4,5,5,6,7,8,8,9,10,11,12,12,2,Rails (168)
Leftover Rail (x2),97.62,30.99,132.36,65.73,167.10,100.47,33.84,135.21,68.58,1.95,103.32,36.69,138.06,71.43,4.80,,
Rail Needed (x2),70.38,137.01,35.64,102.27,0.90,67.53,134.16,32.79,99.42,166.05,64.68,131.31,29.94,96.57,163.20,,
Flashings - Min,4,7,10,12,15,18,21,24,26,29,32,35,37,40,43,7,Flashings - Min
Module to Module”,66.38,133.01,199.64,266.27,332.90,399.53,466.16,532.79,599.42,666.05,732.68,799.31,865.94,932.57,999.20,133.01,Module to Module”
Rail to Rail”,70.38,137.01,203.64,270.27,336.90,403.53,470.16,536.79,603.42,670.05,736.68,803.31,869.94,936.57,1003.20,137.01,Rail to Rail”
Total Rail Length,140.76,274.02,407.28,540.54,673.80,807.06,940.32,1073.58,1206.84,1340.10,1473.36,1606.62,1739.88,1873.14,2006.40,,
Row Count,,1,,,,,,,,,,,,,,1,Row Count
