Category ,Display Name,# Per Pkg,Extra Qty,Price ,Date,Simple Name,Pkg Notes
,,,,-,-,,
Modules,Q.PEAK DUO BLK-G5 315 BOB,1,0,$160.65,03/18/2020,Q.PEAK DUO BLK-G5 315 BOB,
,2,,,,,,
,,,,,,,
Modules,Q.PEAK DUO G5 325 WOB,1,0,$173.88,03/04/2020,Q.PEAK DUO G5 325 WOB,
Modules,Q.PEAK DUO G5 330 WOB,1,0,$100000.00,,Q.PEAK DUO G5 330 WOB,
Modules,LG335N1K-V5 BOB Neon2Black,1,0,$274.70,02/14/2020,LG335N1K-V5 BOB Neon2Black,
Modules,LG350N1C-V5 WOB Neon2,1,0,$287.00,01/24/2020,LG350N1C-V5 WOB Neon2,
Modules,LG360Q1K-V5 BOB NeonRPrime,1,0,$100000.00,,LG360Q1K-V5 BOB NeonRPrime,
Modules,LG375Q1C-V5 WOB NeonR,1,0,$406.88,03/12/2020,LG375Q1C-V5 WOB NeonR,
Modules,PANA VBHN330 SA17 WOB,1,0,$252.45,11/26/2019,PANA VBHN330 SA17 WOB,
,,,,-,-,,
SolarEdge,SE3000H-US Inverter ,1,0,$991.55,03/26/2019,SE3000H-US,
SolarEdge,SE3800H-US Inverter ,1,0,$922.93,03/14/2019,SE3800H-US,
SolarEdge,SE5000H-US Inverter,1,0,$100000.00,,SE5000H-US,
SolarEdge,SE6000H-US Inverter,1,0,$100000.00,,SE6000H-US,
SolarEdge,SE76000H-US Inverter,1,0,$1692.33,11/26/2019,SE7600H-US,
SolarEdge,SE10000H-US Inverter,1,0,$2142.20,02/04/2020,SE10000H-US,
SolarEdge,SE11400H-US Inverter,1,0,$100000.00,,SE11400H-US,
SolarEdge,SE P320 Optimizer ,1,0,$62.11,12/13/2019,P320,
SolarEdge,SE P340 Optimizer ,1,0,$63.99,02/14/2020,P340,
SolarEdge,SE P370 Optimizer ,1,0,$76.06,01/24/2020,P370,
SolarEdge,SE P400 Optimizer ,1,0,$68.92,11/26/2019,P400,
SolarEdge,SE GSM Card ,1,0,$325.18,02/14/2020,Cell Kit,
SolarEdge,SE Energy Meter,1,0,$100000.00,,Energy Meter,
SolarEdge,SE Current Transformer,1,0,$100000.00,,Consumption CT,Come individually 
,,,,-,-,,
Enphase ,IQ7 Micro-Inverter,1,0,$99.75,02/28/2020,IQ7,
Enphase ,IQ7+ Micro-Inverter,1,0,$115.51,02/28/2020,IQ7+,
Enphase ,AC Combiner w Envoy 80A 1PH,1,0,$524.85,03/20/2019,IQ Combiner,
Enphase ,IQ Envoy ,1,0,$419.97,02/28/2020,IQ Envoy,
Enphase ,20A Breaker for IQ Combiner,1,0,$13.18,02/28/2020,Solar Breaker,
Enphase ,Enphase Cell Card,1,0,$320.07,03/12/2020,Cell Kit,
Enphase ,QCable Portrait 60/72,1,0,$12.12,02/28/2020,QCable Portrait ,
Enphase ,QCable Landscape 60 Cell,1,0,$14.24,02/10/2020,QCable Landscape 60 Cell,
Enphase ,QCable Landscape 72 Cell,1,0,$1000000.00,,Cable Landscape 72 Cell ,
Enphase ,Female Seal Cap for Q Cable ,1,0,$2.83,03/05/2019,Sealing Cap,
Enphase ,Terminator Cap for Q Cable ,1,0,$14.23,03/05/2019,Terminator Cap,
Enphase ,Enphase Current Transformer,1,0,$20.30,01/23/2020,Consumption CT,THey come individually
,,,,-,-,,
Fuses and Disconnects,30A SQD Solar Disconnect ,1,0,$72.87,02/28/2020,30A Disconnect ,
Fuses and Disconnects,60A SQD Solar Disconnect ,1,0,$126.36,02/14/2020,60A Disconnect,
Fuses and Disconnects,100A SQD Solar Disconnect,1,0,$186.06,02/28/2020,100A Disconnect,
Fuses and Disconnects,20A Fuse ,1,0,$4.75,02/10/2020,20A Fuse ,
Fuses and Disconnects,30A Fuse,1,0,$4.79,02/10/2020,30A Fuse,
Fuses and Disconnects,40A Fuse ,1,0,$8.74,02/10/2020,40A Fuse ,
Fuses and Disconnects,50A Fuse ,1,0,$8.74,02/10/2020,50A Fuse ,
Fuses and Disconnects,60A Fuse,1,0,$8.74,02/14/2020,60A Fuse,
Fuses and Disconnects,100A Fuse,1,0,$19.80,02/28/2020,100A Fuse,
Fuses and Disconnects,60/30 Fuse Reducer ,1,0,$13.63,03/21/2019,Fuse Reducer,
,,,,-,-,,
IronRidge ,XR10 Black Rail 168” ,1,0,$30.81,03/12/2020,Rail XR10,
IronRidge ,XR100 Black Rail 168” ,1,0,$41.52,02/28/2020,Rail XR100,
IronRidge ,Splice Bar XR10,1,0,$4.05,02/14/2020,XR10 Splice,
IronRidge ,Slice Bar XR100,1,0,$4.46,02/28/2020,XR100 Splice,
IronRidge,Rail Bolt ,1,0,$1.20,03/12/2019,Rail Bolt,
IronRidge ,UFO Black ,1,0,$2.00,03/12/2019,UFO,
IronRidge ,Stopper Sleeve 40mm,1,0,$0.32,03/12/2019,Stopper Sleeve 40mm,
IronRidge ,Stopper Sleeve 33mm,1,0,$0.32,03/12/2019,Stopper Sleeve 32mm,
IronRidge ,IR Ground Lug ,1,0,$3.50,03/12/2019,Ground Lug,
IronRidge ,Micro T-Bolt ,1,0,$0.78,03/12/2019,T Bolt,
,,,,-,-,,
Quickmount Attachment,Quickmount Attachment Kit,1,0,$6.75,03/12/2019,QM Flashing Kit,Kit Includes Flashing EPMD LFoot Lag
,,,,-,-,,
Roof Tech Attachment,RTMini Base (Box of 20),20,0,$113.33,02/28/2020,Base,Comes in Box of 20 
Roof Tech Attachment,RTMini Hex Bolt Box (Box of 100),100,0,$41.33,02/28/2020,Bolt ,Comes in Box of 100 
Roof Tech Attachment,RTMini Screw (Box of 100),100,0,$50.08,02/28/2020,Screw,Comes in Box of 100 
Roof Tech Attachment,IronRidge Slotted LFoot ,1,0,$1.60,02/28/2020,IR LFoot ,
,,,,-,-,,
S5 Attachment,S5 “S” Universal Clamp ,1,0,$4.63,02/28/2020,S5 Universal Clamp,
S5 Attachment,IronRidge Slotted LFoot ,1,0,$1.62,03/12/2019,LFoot,
,,,,-,-,,
Curb Attachment,IronRidge Slotted LFoot ,1,0,$1.62,03/12/2019,IR LFoot ,
Curb Attachment,4” E-Curb Kit (4 per Kit),4,0,$74.75,03/12/2019,Curb kit,Kit of 4 includes mold goop  m1
Curb Attachment,Unirac 4” Standoff ,1,0,$5.89,03/12/2019,Standoff ,2 Per kit  includes base  leg  epdm cover  bolt?
Curb Attachment,IronRidge Slotted LFoot ,1,0,$1.62,03/12/2019,IR LFoot ,
Curb Attachment,"4"" X 5/16"" SS LAG Screw",1,0,$0.39,01/22/2019,Lag Screw,
Curb Attachment,IR Tilt Leg Kit 30” Kit (Contains front + back leg),1,0,$22.68,01/17/2019,30” Tilt Leg Kit,Kit with Front + Back Tilt Leg
,,,,-,-,,
EcoFoot5D ,Rock-It Clip,1,0,$2.00,03/26/2019,Rock-it Clip,
EcoFoot5D ,EcoFoot5D Base,1,0,$5.94,03/26/2019,Base ,
EcoFoot5D ,EcoFoot Clamp Kit (two clamps per kit),2,0,$14.81,03/26/2019,Clamp,2 Clamps Per Kit includes pin
EcoFoot5D ,Wind Deflector ,1,0,$4.95,03/26/2019,Deflector,
EcoFoot5D ,Ballast Tray,1,0,$10.99,03/26/2019,Ballast Tray,Includes screw
EcoFoot5D ,Mid Support Kit,1,0,$1.77,08/23/2019,Mid Support Kit,Includes 2 support pieces + screw
EcoFoot5D ,IronRidge Ground Lug ,1,0,$3.50,03/12/2019,Ground Lug,
,,,,-,-,,
EcoFoot2+ ,Rock-It Clip,1,0,$2.00,03/26/2019,Rock-It Clip ,
EcoFoot2+ ,EcoFoot2+ Base,1,0,$16.41,01/23/2020,Base,
EcoFoot2+ ,EcoFoot Clamp Kit (two clamps per kit),2,0,$14.81,03/26/2019,Clamp kit,2 Clamps per Kit. One of which has wind guard attachment. 
EcoFoot2+ ,Deflector 60 Cell Landscape,1,0,$7.32,01/03/2020,Deflector Landscape 60 Cell,
EcoFoot2+ ,Deflector 60 Cell Portrait,1,0,$4.60,01/03/2020,Deflector Portrait 60 Cell,
EcoFoot2+ ,IronRidge Ground Lug ,1,0,$3.50,03/12/2019,Ground Lug,
,,,,-,-,,
DDome R2,Rock-It Clip,1,0,$1.76,03/16/2020,Rock-It Clip,
DDome R2,Peak,1,0,$9.87,02/18/2020,Peak,
DDome R2,Base,1,0,$5.65,02/18/2020,Base,
DDome R2,Roof Mat,1,0,$5.92,02/18/2020,Mat,
DDome R2,Spacer Pad,1,0,$2.56,02/18/2020,Spacer Pad,
DDome R2,XR Mid Clamp 40 - 44mm,1,0,$2.68,01/27/2020,Mid 40mm,
DDome R2,XR Mid Clamp 30 - 33mm,1,0,$2.23,01/27/2020,Mid 33mm,
DDome R2,End Clamp 39 - 41 mm,1,0,$1.88,01/27/2020,End 40mm,
DDome R2,End Clamp 32 - 33mm,1,0,$1.88,01/27/2020,End 33mm,
DDome R2,Ballast Porter 60 Cell,1,0,$15.09,02/18/2020,Ballast Porter 60 cell,
DDome R2,Corner Strut ,1,0,$14.08,02/18/2020,Corner Strut,Includes Strut + Pin
DDome R2,ILSCO Ground Lug,1,0,$3.87,02/18/2020,Ground Lug,
DDome R2,Weeb Clips,1,0,$1.30,03/26/2019,Weeb,
,,,,-,-,,
Misc,SolaTrim (Box of 100’),1,0,$280.00,09/13/2019,Aesthetic Squirrel Guard ,100’ Per Box
Misc,Soladeck 0799-5B,1,0,$56.19,02/14/2020,Soladeck Black,
Misc,HOM512L100RB,1,0,$56.36,01/24/2020,100A Outdoor Load Center,
Misc,HOM240 Breaker ,1,0,$12.19,01/24/2020,Breaker for PV Load Center,
,,,,-,-,,
Stock,QCable Raw TCER12/2,1,0,$184.36,02/04/2020,QCable Raw,500’ Roll 
Stock,Wire-able Male Connector,1,0,$10.07,01/03/2020,Wire-able Male Connector,
Stock,Wire-able Female Connector,1,0,$10.07,01/03/2020,Wire-able Female Connector,
,,,,-,-,,
